Gene,Tissue,Celltype,Subtype,Reference
Slc5a12,Kidney,Proximal_tubule,PCT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc5a2,Kidney,Proximal_tubule,PCT,https://www.nature.com/articles/s41467-021-22266-1
Slc5a2,Kidney,Proximal_tubule,PCT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc6a19,Kidney,Proximal_tubule,PCT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc7a8,Kidney,Proximal_tubule,PCT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc7a9,Kidney,Proximal_tubule,PCT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Myh11,Kidney,Pericyte,Pericyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Pdgfrb,Kidney,Pericyte,Pericyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tagln,Kidney,Pericyte,Pericyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Vim,Kidney,Pericyte,Pericyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Plvap,Kidney,Endothelial,Peritubular_capillaries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bcl11a,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ccr9,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd209d,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cox6a2,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lair1,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ly6d,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rnase6,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Runx2,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Sell,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Siglech,Kidney,Myeloid,Plasmocytoid_dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nphs1,Kidney,Podocyte,Podocyte,https://www.nature.com/articles/s41467-021-22266-1
Nphs2,Kidney,Podocyte,Podocyte,https://www.nature.com/articles/s41467-021-22266-1
Efnb2,Kidney,Podocyte,Podocyte_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Foxc2,Kidney,Podocyte,Podocyte_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Foxl1,Kidney,Podocyte,Podocyte_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mafb,Kidney,Podocyte,Podocyte_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wt1,Kidney,Podocyte,Podocyte_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Apela,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Aqp2,Kidney,Epithelial,Principal_cell,https://www.nature.com/articles/s41467-021-22266-1
Aqp3,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Avpr2,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Elf5,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fxyd4,Kidney,Epithelial,Principal_cell,https://www.nature.com/articles/s41467-021-22266-1
Fxyd4,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hsd11b2,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kcne1,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kcnj10,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Npnt,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rhbg,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Scnn1b,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Scnn1g,Kidney,Epithelial,Principal_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Akr1c21,Kidney,Proximal_tubule,PST,https://www.nature.com/articles/s41467-021-22266-1
Atp11,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kap,Kidney,Proximal_tubule,PST,https://www.nature.com/articles/s41467-021-22266-1
Slc13a3,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc16a9,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc1a1,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc22a6,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc27a2,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc7a13,Kidney,Proximal_tubule,PST,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Acox3,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Acsm1,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Acsm2,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Aqp8,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cpt1a,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Glud1,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hnf4a,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hrsp12,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hxyd2,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lrp2,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Pck1,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ppara,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc26a6,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc34a1,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc9a3,Kidney,Proximal_tubule,PT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Dcdc2a,Kidney,Proximal_tubule,PT_injured,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Havcr1,Kidney,Proximal_tubule,PT_injured,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hspa1a,Kidney,Proximal_tubule,PT_injured,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Krt20,Kidney,Proximal_tubule,PT_injured,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Sema5a,Kidney,Proximal_tubule,PT_injured,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Vcam1,Kidney,Proximal_tubule,PT_injured,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Lrg4,Kidney,Proximal_tubule,PT_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Notch2,Kidney,Proximal_tubule,PT_progenitor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Acta2,Kidney,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Gata3,Kidney,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Map3k7cl,Kidney,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Myh11,Kidney,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rergl,Kidney,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tagln,Kidney,Smooth_muscle,Smooth_muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Col3a1,Kidney,Stromal,Stromal,https://www.nature.com/articles/s41467-021-22266-1
Cd247,Kidney,Lymphoid,T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cxcr6,Kidney,Lymphoid,T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nkg7,Kidney,Lymphoid,T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Capg,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd3g,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ifi27l2a,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ikzf2,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Izumo1r,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Ltb,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rgs1,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
S100a4,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tnfrsf18,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Tnfrsf4,Kidney,Lymphoid,T_reg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Aqp2,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp6v0d2,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp6v1b1,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp6v1g3,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hsd11b2,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Insr,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Parm1,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Rhbg,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Sec23b,Kidney,CD,Transitional_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Adgrf5,Kidney,CD,TypeA_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Aqp6,Kidney,CD,TypeA_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Atp4a,Kidney,CD,TypeA_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Kit,Kidney,CD,TypeA_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Mme,Kidney,CD,TypeA_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc4a1,Kidney,CD,TypeA_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Hmx2,Kidney,CD,TypeB_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Slc26a4,Kidney,CD,TypeB_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Spink8,Kidney,CD,TypeB_intercalated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cldn5,Kidney,Endothelial,Vas_afferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Edn1,Kidney,Endothelial,Vas_afferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Efbn2,Kidney,Endothelial,Vas_afferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Fbln5,Kidney,Endothelial,Vas_afferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cryab,Kidney,Endothelial,Vas_efferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Gas6,Kidney,Endothelial,Vas_efferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Klf4,Kidney,Endothelial,Vas_efferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Podxl,Kidney,Endothelial,Vas_efferens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bgn,Kidney,Endothelial,Veins_venules,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cd9,Kidney,Endothelial,Veins_venules,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nr2f2,Kidney,Endothelial,Veins_venules,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Plvap,Kidney,Endothelial,Veins_venules,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bcl11a,Liver,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3526365/
Cd79a,Liver,Lymphoid,B_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Ikzf1,Liver,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/11870616/
Ikzf3,Liver,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/9806640/
Pax5,Liver,Lymphoid,B_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Clec9a,Liver,Dendritic,cDC1,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Flt3,Liver,Dendritic,cDC1,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Xcr1,Liver,Dendritic,cDC1,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Clec10a,Liver,Dendritic,cDC2,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Mgl2,Liver,Dendritic,cDC2,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Tnip3,Liver,Dendritic,cDC2,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Ddit4l,Liver,Cholangiocyte,Cholangiocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Epcam,Liver,Cholangiocyte,Cholangiocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Slc5a1,Liver,Cholangiocyte,Cholangiocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Spp1,Liver,Cholangiocyte,Cholangiocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Flt1,Liver,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27
Pecam1,Liver,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27
Col1a1,Liver,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1
Col3a1,Liver,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1
Dcn,Liver,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1
Pdgfra,Liver,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-020-17740-1
Chrm3,Liver,Stem cell,Hematopoietic_stem_progenitor,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Prom1,Liver,Stem cell,Hematopoietic_stem_progenitor,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Dach1,Liver,Mesenchymal,Hepatic_stellate_cells_HSC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Igfbp3,Liver,Mesenchymal,Hepatic_stellate_cells_HSC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Ngfr,Liver,Mesenchymal,Hepatic_stellate_cells_HSC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Apoa2,Liver,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Hal,Liver,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Sds,Liver,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Ttr,Liver,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Gzmc,Liver,Lymphoid,Innate_lymphoid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Klrb1b,Liver,Lymphoid,Innate_lymphoid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Ncr1,Liver,Lymphoid,Innate_lymphoid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
C1qa,Liver,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
C1qc,Liver,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Cd163,Liver,Kupffer,Kupffer,https://www.panglaodb.se/markers.html?cell_type=%27Kupffer%20cells%27
Clec1b,Liver,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Folr2,Liver,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Vsig4,Liver,Kupffer,Kupffer,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Ass1,Liver,Hepatocyte,Midlobular_hepatocyte,https://www.nature.com/articles/nature21065
Cyp2e1,Liver,Hepatocyte,Midlobular_hepatocyte,https://www.nature.com/articles/nature21065
Adgre1,Liver,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Axl,Liver,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
C5ar1,Liver,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Cx3cr1,Liver,Myeloid,Myeloid,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Klra8,Liver,Immune,NK_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Axin2,Liver,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065
Cyp1a2,Liver,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065
Glul,Liver,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065
Gstm3,Liver,Hepatocyte,Pericentral_hepatocyte,https://www.nature.com/articles/nature21065
Alb,Liver,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065
Arg1,Liver,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065
Asl,Liver,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065
C2,Liver,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065
Cyp2f2,Liver,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065
Pck1,Liver,Hepatocyte,Periportal_hepatocyte,https://www.nature.com/articles/nature21065
Efnb2,Liver,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Esam,Liver,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Mecom,Liver,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Mrc1,Liver,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Msr1,Liver,Endothelial,Sinusoidal_endothelial_LSEC,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Il7r,Liver,Lymphoid,T_cell,https://www.panglaodb.se/markers.html?cell_type=%27T%20cells%27
Themis,Liver,Lymphoid,T_cell,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1
Cd200r3,PBMC,Basophil,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Fcer1a,PBMC,Basophil,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Ms4a2,PBMC,Basophil,Basophil,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Cd4,PBMC,T_cell,Cd4_T,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3312336/
Cd8a,PBMC,T_cell,Cd8_T,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3303224/
Prf1,PBMC,NK_cell,Gsn,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6269138/
C1qa,PBMC,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Cd14,PBMC,Monocyte,Monocyte,https://biomarkerres.biomedcentral.com/articles/10.1186/2050-7771-2-1
Cd44,PBMC,Monocyte,Monocyte,https://academic.oup.com/abbs/article/46/7/540/1689
Fcgr3,PBMC,Monocyte,Monocyte,
Ly6c1,PBMC,Monocyte,Monocyte,https://www.frontiersin.org/articles/10.3389/fimmu.2021.632333/full
Ly6c2,PBMC,Monocyte,Monocyte,https://www.frontiersin.org/articles/10.3389/fimmu.2021.632333/full
Lyz2,PBMC,Monocyte,Monocyte,
S100a8,PBMC,Neutrophil,Neutrophil,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773660/#:~:text=Neutrophils%20are%20the%20most%20abundant,controversy%20about%20their%20actual%20localization."
S100a9,PBMC,Neutrophil,Neutrophil,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8773660/#:~:text=Neutrophils%20are%20the%20most%20abundant,controversy%20about%20their%20actual%20localization."
Gzma,PBMC,NK_cell,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Il18rap,PBMC,NK_cell,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6269138/
Nkg7,PBMC,NK_cell,NK_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Bst2,PBMC,Dendritic_cell,pDC,https://panglaodb.se/markers.html?cell_type=%27Plasmacytoid%20dendritic%20cells%27
Klk1,PBMC,Dendritic_cell,pDC,https://panglaodb.se/markers.html?cell_type=%27Plasmacytoid%20dendritic%20cells%27
Tcf4,PBMC,Dendritic_cell,pDC,https://www.frontiersin.org/articles/10.3389/fimmu.2018.02475/full
Hba-a1,PBMC,RBC,RBC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9876630/
Hba-a2,PBMC,RBC,RBC,https://www.sciencedirect.com/science/article/pii/S0092867420300623
Hbb-bs,PBMC,RBC,RBC,https://www.sciencedirect.com/science/article/pii/S0092867420300623
Hbb-bt,PBMC,RBC,RBC,https://www.mdpi.com/2221-3759/11/2/15
Foxp3,PBMC,T_cell,T_reg,https://www.nature.com/articles/cmi201510
apoptosis pathways,,Low-quality,Low-quality,WIP
ferroptosis,,Low-quality,Low-quality,WIP
Hba-a1,,Low-quality,Low-quality,Ambient RNA markers
Hba-a2,,Low-quality,Low-quality,Ambient RNA markers
Hbb-bs,,Low-quality,Low-quality,Ambient RNA markers
heat shock,,Low-quality,Low-quality,WIP
necroptosis,,Low-quality,Low-quality,WIP
